No,Year,Month,Day,Hour,PM2.5,DEWP,TEMP,PRES,CBWD,LWS,LS,LR
1,2010,1,1,0,NA,-21.00,-11.00,1021.00,NW,1.79,0.00,0.00
2,2010,1,1,1,NA,-21.00,-12.00,1020.00,NW,4.92,0.00,0.00
3,2010,1,1,2,NA,-21.00,-11.00,1019.00,NW,6.71,0.00,0.00
4,2010,1,1,3,NA,-21.00,-14.00,1019.00,NW,9.84,0.00,0.00
5,2010,1,1,4,NA,-20.00,-12.00,1018.00,NW,12.97,0.00,0.00
6,2010,1,1,5,NA,-19.00,-10.00,1017.00,NW,16.10,0.00,0.00
7,2010,1,1,6,NA,-19.00,-9.00,1017.00,NW,19.23,0.00,0.00
8,2010,1,1,7,NA,-19.00,-9.00,1017.00,NW,21.02,0.00,0.00
9,2010,1,1,8,NA,-19.00,-9.00,1017.00,NW,24.15,0.00,0.00
10,2010,1,1,9,NA,-20.00,-8.00,1017.00,NW,27.28,0.00,0.00
11,2010,1,1,10,NA,-19.00,-7.00,1017.00,NW,31.30,0.00,0.00
12,2010,1,1,11,NA,-18.00,-5.00,1017.00,NW,34.43,0.00,0.00
13,2010,1,1,12,NA,-19.00,-5.00,1015.00,NW,37.56,0.00,0.00
14,2010,1,1,13,NA,-18.00,-3.00,1015.00,NW,40.69,0.00,0.00
15,2010,1,1,14,NA,-18.00,-2.00,1014.00,NW,43.82,0.00,0.00
16,2010,1,1,15,NA,-18.00,-1.00,1014.00,CV,0.89,0.00,0.00
17,2010,1,1,16,NA,-19.00,-2.00,1015.00,NW,1.79,0.00,0.00
18,2010,1,1,17,NA,-18.00,-3.00,1015.00,NW,2.68,0.00,0.00
19,2010,1,1,18,NA,-18.00,-5.00,1016.00,NE,1.79,0.00,0.00
20,2010,1,1,19,NA,-17.00,-4.00,1017.00,NW,1.79,0.00,0.00
21,2010,1,1,20,NA,-17.00,-5.00,1017.00,CV,0.89,0.00,0.00
22,2010,1,1,21,NA,-17.00,-5.00,1018.00,NW,1.79,0.00,0.00
23,2010,1,1,22,NA,-17.00,-5.00,1018.00,NW,2.68,0.00,0.00
24,2010,1,1,23,NA,-17.00,-5.00,1020.00,CV,0.89,0.00,0.00
25,2010,1,2,0,129.00,-16.00,-4.00,1020.00,SE,1.79,0.00,0.00
26,2010,1,2,1,148.00,-15.00,-4.00,1020.00,SE,2.68,0.00,0.00
27,2010,1,2,2,159.00,-11.00,-5.00,1021.00,SE,3.57,0.00,0.00
28,2010,1,2,3,181.00,-7.00,-5.00,1022.00,SE,5.36,1.00,0.00
29,2010,1,2,4,138.00,-7.00,-5.00,1022.00,SE,6.25,2.00,0.00
30,2010,1,2,5,109.00,-7.00,-6.00,1022.00,SE,7.14,3.00,0.00
31,2010,1,2,6,105.00,-7.00,-6.00,1023.00,SE,8.93,4.00,0.00
32,2010,1,2,7,124.00,-7.00,-5.00,1024.00,SE,10.72,0.00,0.00
33,2010,1,2,8,120.00,-8.00,-6.00,1024.00,SE,12.51,0.00,0.00
34,2010,1,2,9,132.00,-7.00,-5.00,1025.00,SE,14.30,0.00,0.00
35,2010,1,2,10,140.00,-7.00,-5.00,1026.00,SE,17.43,1.00,0.00
36,2010,1,2,11,152.00,-8.00,-5.00,1026.00,SE,20.56,0.00,0.00
37,2010,1,2,12,148.00,-8.00,-5.00,1026.00,SE,23.69,0.00,0.00
38,2010,1,2,13,164.00,-8.00,-5.00,1025.00,SE,27.71,0.00,0.00
39,2010,1,2,14,158.00,-9.00,-5.00,1025.00,SE,31.73,0.00,0.00
40,2010,1,2,15,154.00,-9.00,-5.00,1025.00,SE,35.75,0.00,0.00
41,2010,1,2,16,159.00,-9.00,-5.00,1026.00,SE,37.54,0.00,0.00
42,2010,1,2,17,164.00,-8.00,-5.00,1027.00,SE,39.33,0.00,0.00
43,2010,1,2,18,170.00,-8.00,-5.00,1027.00,SE,42.46,0.00,0.00
44,2010,1,2,19,149.00,-8.00,-5.00,1028.00,SE,44.25,0.00,0.00
45,2010,1,2,20,154.00,-7.00,-5.00,1028.00,SE,46.04,0.00,0.00
46,2010,1,2,21,164.00,-7.00,-5.00,1027.00,SE,49.17,1.00,0.00
47,2010,1,2,22,156.00,-8.00,-6.00,1028.00,SE,52.30,2.00,0.00
48,2010,1,2,23,126.00,-8.00,-6.00,1027.00,SE,55.43,3.00,0.00
49,2010,1,3,0,90.00,-7.00,-6.00,1027.00,SE,58.56,4.00,0.00
50,2010,1,3,1,63.00,-8.00,-6.00,1026.00,SE,61.69,5.00,0.00
51,2010,1,3,2,65.00,-8.00,-7.00,1026.00,SE,65.71,6.00,0.00
52,2010,1,3,3,55.00,-8.00,-7.00,1025.00,SE,68.84,7.00,0.00
53,2010,1,3,4,65.00,-8.00,-7.00,1024.00,SE,72.86,8.00,0.00
54,2010,1,3,5,83.00,-9.00,-8.00,1024.00,SE,76.88,9.00,0.00
55,2010,1,3,6,91.00,-10.00,-8.00,1024.00,SE,80.90,10.00,0.00
56,2010,1,3,7,86.00,-10.00,-9.00,1024.00,SE,84.92,11.00,0.00
57,2010,1,3,8,82.00,-10.00,-9.00,1024.00,SE,89.84,12.00,0.00
58,2010,1,3,9,86.00,-11.00,-9.00,1023.00,SE,93.86,13.00,0.00
59,2010,1,3,10,78.00,-11.00,-9.00,1023.00,SE,97.88,15.00,0.00
60,2010,1,3,11,98.00,-11.00,-9.00,1022.00,SE,102.80,16.00,0.00
61,2010,1,3,12,107.00,-11.00,-9.00,1021.00,SE,105.93,17.00,0.00
62,2010,1,3,13,90.00,-11.00,-9.00,1020.00,SE,111.74,19.00,0.00
63,2010,1,3,14,96.00,-11.00,-9.00,1020.00,SE,116.66,20.00,0.00
64,2010,1,3,15,95.00,-11.00,-9.00,1020.00,SE,121.58,21.00,0.00
65,2010,1,3,16,86.00,-11.00,-9.00,1020.00,SE,124.71,22.00,0.00
66,2010,1,3,17,70.00,-11.00,-9.00,1020.00,SE,127.84,23.00,0.00
67,2010,1,3,18,61.00,-11.00,-9.00,1021.00,CV,0.89,24.00,0.00
68,2010,1,3,19,53.00,-11.00,-9.00,1022.00,CV,1.78,25.00,0.00
69,2010,1,3,20,71.00,-10.00,-9.00,1022.00,NW,4.02,26.00,0.00
70,2010,1,3,21,72.00,-11.00,-10.00,1023.00,NW,7.15,27.00,0.00
71,2010,1,3,22,76.00,-11.00,-9.00,1023.00,NW,11.17,0.00,0.00
72,2010,1,3,23,73.00,-12.00,-11.00,1023.00,NW,14.30,0.00,0.00
73,2010,1,4,0,79.00,-14.00,-12.00,1023.00,NW,16.09,0.00,0.00
74,2010,1,4,1,58.00,-16.00,-9.00,1023.00,NW,21.90,0.00,0.00
75,2010,1,4,2,25.00,-17.00,-10.00,1024.00,NW,29.95,0.00,0.00
76,2010,1,4,3,26.00,-18.00,-11.00,1024.00,NW,39.78,0.00,0.00
77,2010,1,4,4,28.00,-19.00,-11.00,1025.00,NW,48.72,0.00,0.00
78,2010,1,4,5,26.00,-20.00,-12.00,1026.00,NW,55.87,0.00,0.00
79,2010,1,4,6,20.00,-21.00,-12.00,1027.00,NW,64.81,0.00,0.00
80,2010,1,4,7,29.00,-21.00,-13.00,1027.00,NW,73.75,0.00,0.00
81,2010,1,4,8,26.00,-22.00,-13.00,1028.00,NW,80.90,0.00,0.00
82,2010,1,4,9,27.00,-22.00,-13.00,1029.00,NW,90.73,0.00,0.00
83,2010,1,4,10,27.00,-22.00,-12.00,1030.00,NW,100.56,0.00,0.00
84,2010,1,4,11,25.00,-23.00,-12.00,1031.00,NW,108.61,0.00,0.00
85,2010,1,4,12,29.00,-21.00,-11.00,1030.00,NW,117.55,0.00,0.00
86,2010,1,4,13,32.00,-20.00,-10.00,1030.00,NW,127.38,0.00,0.00
87,2010,1,4,14,28.00,-21.00,-10.00,1030.00,NW,136.32,0.00,0.00
88,2010,1,4,15,29.00,-21.00,-9.00,1030.00,NW,145.26,0.00,0.00
89,2010,1,4,16,30.00,-21.00,-9.00,1031.00,NW,152.41,0.00,0.00
90,2010,1,4,17,30.00,-20.00,-11.00,1032.00,NW,159.56,0.00,0.00
91,2010,1,4,18,28.00,-23.00,-11.00,1032.00,NW,165.37,0.00,0.00
92,2010,1,4,19,26.00,-21.00,-12.00,1033.00,NW,171.18,0.00,0.00
93,2010,1,4,20,31.00,-24.00,-12.00,1034.00,NW,180.12,0.00,0.00
94,2010,1,4,21,33.00,-24.00,-13.00,1034.00,NW,187.27,0.00,0.00
95,2010,1,4,22,29.00,-24.00,-13.00,1035.00,NW,195.32,0.00,0.00
96,2010,1,4,23,31.00,-26.00,-15.00,1035.00,NW,198.45,0.00,0.00
97,2010,1,5,0,30.00,-26.00,-17.00,1035.00,NW,201.58,0.00,0.00
98,2010,1,5,1,34.00,-26.00,-18.00,1035.00,NW,205.60,0.00,0.00
99,2010,1,5,2,27.00,-26.00,-19.00,1035.00,NW,208.73,0.00,0.00
100,2010,1,5,3,25.00,-27.00,-18.00,1035.00,NW,213.65,0.00,0.00
101,2010,1,5,4,28.00,-27.00,-19.00,1035.00,NW,218.57,0.00,0.00
102,2010,1,5,5,28.00,-27.00,-16.00,1034.00,NE,4.92,0.00,0.00
103,2010,1,5,6,27.00,-26.00,-16.00,1035.00,NE,8.05,0.00,0.00
104,2010,1,5,7,27.00,-27.00,-16.00,1034.00,NE,13.86,0.00,0.00
105,2010,1,5,8,27.00,-26.00,-16.00,1035.00,NE,18.78,0.00,0.00
106,2010,1,5,9,29.00,-26.00,-15.00,1035.00,NE,24.59,0.00,0.00
107,2010,1,5,10,36.00,-25.00,-14.00,1035.00,NE,29.51,0.00,0.00
108,2010,1,5,11,30.00,-25.00,-13.00,1035.00,NE,34.43,0.00,0.00
109,2010,1,5,12,27.00,-25.00,-12.00,1034.00,NE,39.35,0.00,0.00
110,2010,1,5,13,39.00,-24.00,-11.00,1032.00,NE,41.14,0.00,0.00
111,2010,1,5,14,41.00,-22.00,-11.00,1032.00,CV,0.89,0.00,0.00
112,2010,1,5,15,33.00,-23.00,-11.00,1031.00,NW,1.79,0.00,0.00
